name,city,date,cost,notes
Meetup 1,Lviv,2025-01-01,400,tickets
Meetup 2,Kyiv,2025-02-02,437,
Meetup 3,Prague,2025-03-03,474,
Meetup 4,Vilnius,2025-04-04,511,tickets
Meetup 5,Vienna,2025-05-05,548,
Meetup 6,Lviv,2025-06-06,585,
Meetup 7,Kyiv,2025-07-07,622,tickets
Meetup 8,Prague,2025-08-08,659,
Meetup 9,Vilnius,2025-09-09,696,
Meetup 10,Vienna,2025-10-10,733,tickets
Meetup 11,Lviv,the 14th of never,770,
Meetup 12,Kyiv,2025-12-12,807,
Meetup 13,Prague,2025-01-13,844,tickets
Meetup 14,Vilnius,2025-02-14,881,
Meetup 15,Vienna,2025-03-15,918,
Meetup 16,Lviv,2025-04-16,955,tickets
Meetup 17,Kyiv,2025-05-17,992,
Meetup 18,Prague,2025-06-18,1029,
Meetup 19,Vilnius,2025-07-19,1066,tickets
Meetup 20,Vienna,2025-08-20,1103,
Meetup 21,Lviv,2025-09-21,1140,
Meetup 22,Kyiv,2025-10-22,1177,tickets
Meetup 23,Prague,2025-11-23,1214,
Meetup 24,Vilnius,2025-12-24,1251,
Meetup 25,Vienna,2025-01-25,1288,tickets
Meetup 26,Lviv,2025-02-26,1325,
Meetup 27,Kyiv,2025-03-27,1362,
Meetup 28,Prague,2025-04-01,1399,tickets
Meetup 29,Vilnius,2025-05-02,1436,
Meetup 30,Vienna,2025-06-03,1473,
Meetup 31,Lviv,2025-07-04,1510,tickets
Meetup 32,Kyiv,2025-08-05,1547,
Meetup 33,Prague,2025-09-06,1584,
Meetup 34,Vilnius,2025-10-07,1621,tickets
Meetup 35,Vienna,2025-11-08,1658,
Meetup 36,Lviv,2025-12-09,1695,
Meetup 37,Kyiv,2025-01-10,1732,tickets
Meetup 38,Prague,2025-02-11,1769,
Meetup 39,Vilnius,2025-03-12,1806,
Meetup 40,Vienna,2025-04-13,1843,tickets
Meetup 41,Lviv,2025-05-14,twelve thousand,
Meetup 42,Kyiv,2025-06-15,1917,
Meetup 43,Prague,2025-07-16,1954,tickets
Meetup 44,Vilnius,2025-08-17,1991,
Meetup 45,Vienna,2025-09-18,2028,
Meetup 46,Lviv,2025-10-19,2065,tickets
Meetup 47,Kyiv,2025-11-20,2102,
Meetup 48,Prague,2025-12-21,2139,
Meetup 49,Vilnius,2025-01-22,2176,tickets
Meetup 50,Vienna,2025-02-23,2213,
Meetup 51,Lviv,2025-03-24,2250,
Meetup 52,Kyiv,2025-04-25,2287,tickets
Meetup 53,Prague,2025-05-26,2324,
Meetup 54,Vilnius,2025-06-27,2361,
Meetup 55,Vienna,2025-07-01,2398,tickets
Meetup 56,Lviv,2025-08-02,2435,
Meetup 57,Kyiv,2025-09-03,2472,
Meetup 58,Prague,2025-10-04,2509,tickets
Meetup 59,Vilnius,2025-11-05,2546,
Meetup 60,Vienna,2025-12-06,2583,
Meetup 61,Lviv,2025-01-07,2620,tickets
Meetup 62,Kyiv,2025-02-08,2657,
Meetup 63,Prague,2025-03-09,2694,
Meetup 64,Vilnius,2025-04-10,2731,tickets
Meetup 65,Vienna,2025-05-11,2768,
Meetup 66,Lviv,2025-06-12,2805,
Meetup 67,Kyiv,2025-07-13,2842,tickets
Meetup 68,Prague,2025-08-14,2879,
Meetup 69,Vilnius,2025-09-15,2916,
Meetup 70,Vienna,2025-10-16,2953,tickets
Meetup 71,Lviv,2025-11-17,2990,
Meetup 72,Kyiv,2025-12-18,3027,
Meetup 73,Prague,2025-01-19,3064,tickets
Meetup 74,Vilnius,2025-02-20,3101,
Meetup 75,Vienna,2025-03-21,3138,
Meetup 76,Lviv,2025-04-22,3175,tickets
Meetup 77,Kyiv,2025-05-23,3212,
Meetup 78,Prague,2025-06-24,n/a,
Meetup 79,Vilnius,2025-07-25,3286,tickets
Meetup 80,Vienna,2025-08-26,3323,
Meetup 81,Lviv,2025-09-27,3360,
Meetup 82,Kyiv,2025-10-01,3397,tickets
Meetup 83,Prague,2025-11-02,3434,
Meetup 84,Vilnius,2025-12-03,3471,
Meetup 85,Vienna,2025-01-04,3508,tickets
Meetup 86,Lviv,2025-02-05,3545,
Meetup 87,Kyiv,2025-03-06,3582,
Meetup 88,Prague,2025-04-07,3619,tickets
Meetup 89,Vilnius,2025-05-08,3656,
Meetup 90,Vienna,2025-06-09,3693,
Meetup 91,Lviv,2025-07-10,3730,tickets
Meetup 92,Kyiv,2025-08-11,3767,
Meetup 93,Prague,2025-09-12,3804,
Meetup 94,Vilnius,2025-10-13,3841,tickets
Meetup 95,Vienna,2025-11-14,3878,
Meetup 96,Lviv,2025-12-15,3915,
Meetup 97,Kyiv,2025-01-16,3952,tickets
Meetup 98,Prague,2025-02-17,3989,
Meetup 99,Vilnius,2025-03-18,4026,
Meetup 100,Vienna,2025-04-19,4063,tickets
